# giorno/mese;titolo;descrizione;url
01/01;Capodanno;;https://it.wikipedia.org/wiki/Capodanno
01/01;Giornata mondiale della pace (celebrazione cattolica);;https://it.wikipedia.org/wiki/Giornata_mondiale_della_pace
04/01;Giornata mondiale del Braille;;https://www.un.org/en/observances/braille-day
13/01;Giornata mondiale del dialogo fra religioni e omosessualità;;
17/01;Giornata internazionale della pizza;;
24/01;Giornata internazionale dell’educazione;;
24/01;Giornata Internazionale dell'Educazione;;http://www.un.org/en/events/educationday/
26/01;Giornata Internazionale dell'Energia Pulita;;https://daccess-ods.un.org/tmp/1515211.31396294.html
27/01;Giornata Internazionale di Commemorazione in Memoria delle Vittime dell’Olocausto;;https://www.un.org/en/holocaustremembrance/observance/
02/02;Giornata Mondiale delle Zone Umide;;
04/02;Giornata Mondiale contro il Cancro;;https://www.worldcancerday.org/
04/02;Giornata Mondiale della Fratellanza Umana;;https://www.un.org/en/observances/human-fraternity
05/02;Giornata mondiale della vita;;
05/02;Giornata mondiale della Nutella;;
06/02;Giornata Internazionale contro le Mutilazioni Genitali Femminili;;https://www.un.org/en/observances/female-genital-mutilation-day
10/02;Giornata Internazionale dei Legumi;;https://www.un.org/en/observances/world-pulses-day
11/02;Giornata Internazionale per le Donne e le Ragazze nella Scienza;;https://www.un.org/en/observances/women-and-girls-in-science-day/
12/02;Giornata Internazionale per la Prevenzione dell’Estremismo Violento, anche quando favorisce il Fenomeno del Terrorismo;;https://press.un.org/en/2022/ga12485.doc.htm
09/10;Giornata mondiale della posta;;
10/10;Giornata mondiale della salute mentale;;https://www.who.int/campaigns/world-mental-health-day
11/10;Giornata Mondiale delle Giovani Ragazze;;https://www.un.org/en/observances/girl-child-day
13/10;Giornata Internazionale per la Riduzione dei Disastri;;https://www.un.org/en/observances/disaster-reduction-day
15/10;Giornata Internazionale delle Donne Rurali;;https://www.un.org/en/observances/rural-women-day
16/10;Giornata Mondiale dell’Alimentazione;;http://www.fao.org/world-food-day
17/10;Giornata internazionale per l’eliminazione della povertà;;
24/10;Giornata delle Nazioni Unite;;https://www.un.org/en/observances/un-day
24/10;Giornata Mondiale per l’Informazione sullo Sviluppo;;https://www.un.org/en/observances/development-information-day
27/10;Giornata Mondiale del Patrimonio Audiovisivo;;https://www.un.org/en/observances/audiovisual-heritage-day
31/10;Giornata Mondiale delle Città;;https://www.un.org/en/observances/cities-day
02/11;Giornata Mondiale per porre fine all’Impunità per i Crimini contro i Giornalisti;;https://www.un.org/en/observances/end-impunity-crimes-against-journalists
05/11;Giornata per la Sensibilizzazione dello Tsunami;;https://www.un.org/en/observances/tsunami-awareness-day
06/11;Giornata Internazionale per la Prevenzione dello Sfruttamento dell’Ambiente in Tempo di Guerra e di Conflitti Armati;;https://www.un.org/en/observances/environment-in-war-protection-day
10/11;Giornata Mondiale della Scienza per la Pace e lo Sviluppo;;https://www.un.org/en/observances/world-science-day
14/11;Giornata Mondiale del Diabete;;https://www.un.org/en/observances/diabetes-day
16/11;Giornata Internazionale per la Tolleranza;;https://www.un.org/en/observances/tolerance-day
19/11;Giornata Mondiale dei Servizi Igienici;;https://www.un.org/en/observances/toilet-day
20/11;Giornata per l’Industrializzazione dell’Africa;;https://www.un.org/en/observances/africa-industrialization-day
20/11;Giornata Mondiale dell’Infanzia;;https://www.un.org/en/observances/world-childrens-day
21/11;Giornata Mondiale della Televisione;;https://www.un.org/en/observances/world-television-day
25/11;Giornata Internazionale per l’Eliminazione della Violenza contro le Donne;;https://www.un.org/en/observances/ending-violence-against-women-day
29/11;Giornata Internazionale di Solidarietà con il Popolo Palestinese;;https://www.un.org/en/observances/international-day-of-solidarity-with-the-palestinian-people
30/11;Giornata della Memoria delle Vittime della Guerra Chimica;;https://www.un.org/en/observances/chemical-warfare-victims-day
01/12;Giornata Mondiale dell’AIDS;;https://www.un.org/en/observances/world-aids-day
02/12;Giornata Internazionale per l’Abolizione della Schiavitù;;https://www.un.org/en/observances/slavery-abolition-day
03/12;Giornata Internazionale per le Persone con Disabilità;;https://www.un.org/en/observances/day-of-persons-with-disabilities
04/12;Giornata Internazionale delle Banche;;https://www.un.org/en/observances/international-day-of-banks
05/12;Giornata Internazionale dei Volontari per lo Sviluppo Economico e Sociale;;https://www.un.org/en/observances/volunteer-day
05/12;Giornata Mondiale del Suolo;;https://www.un.org/en/observances/world-soil-day
07/12;Giornata Internazionale dell’Aviazione Civile;;https://www.un.org/en/observances/civil-aviation-day
09/12;Giornata Mondiale per la Commemorazione e per la Dignità delle Vittime di Genocidio e della Prevenzione di questo Crimine;;https://www.un.org/en/observances/genocide-prevention-day
09/12;Giornata Internazionale contro la Corruzione;;https://www.un.org/en/observances/anti-corruption-day
10/12;Giornata dei Diritti Umani;;https://www.un.org/en/observances/human-rights-day
11/12;Giornata Internazionale della Montagna;;https://www.un.org/en/observances/mountain-day
12/12;Giornata Internazionale della Neutralità;;https://www.un.org/en/observances/neutrality-day
12/12;Giornata Universale della Copertura Sanitaria;;https://www.un.org/en/observances/universal-health-coverage-day
18/12;Giornata Internazionale dei Migranti;;https://www.un.org/en/observances/migrants-day
18/12;Giornata della Lingua Araba;;https://www.un.org/ar/observances/arabiclanguageday/
20/12;Giornata Internazionale della Solidarietà Umana;;https://www.un.org/en/observances/human-solidarity-day
21/12;Giornata Internazionale della Pallacanestro;;https://daccess-ods.un.org/tmp/6359086.03668213.html
27/12;Giornata Internazionale per la Preparazione contro le Epidemie;;https://www.un.org/en/observances/epidemic-preparedness-day
